排名,排名变化,姓名,财富（亿元人民币）,涨幅,公司,居住地,主业,年龄
1050,-193,黄善兵家族,60,-31%,捷捷微电,江苏南通,半导体器件,66
1050,New,黄婉茹,60,New,联泰,广东汕头,基础建设、房地产,49
1050,-6,霍焱,60,-14%,卡普拉投资,英国伦敦,对冲基金,54
1050,205,江淦钧,60,3%,索菲亚,广东广州,家具,58
1050,-77,蒋锦志,60,-20%,景林资产,上海,投资,-
1050,-538,蒋伟、游捷夫妇,60,-57%,昊海生物,上海,生物医药,"58, 60"
1050,73,李成辉家族,60,-8%,联合,香港,投资,53
1050,39,李俊田,60,-13%,汇川技术,广东深圳,工业自动化产品,47
1050,-248,李民、李晓昱夫妇,60,-33%,海优新材,上海,高分子薄膜,"51, 49"
1050,-351,梁建坤、梁杰父子,60,-40%,寒锐钴业,江苏南京,钴业,"61, 38"
1050,-491,林中家族,60,-54%,旭辉,上海,房地产,54
1050,44,刘宝林,60,-12%,九州通,湖北武汉,医药流通,69
1050,-6,刘国伟,60,-14%,汇川技术,广东深圳,工业自动化产品,50
1050,247,刘昊、刘蕾夫妇,60,9%,奥海科技,广东东莞,充电器,"46, 43"
1050,753,刘建波,60,58%,东威科技,江苏苏州,工业设备,43
1050,-373,吕大龙,60,-43%,韦尔股份,上海,半导体,60
1050,-6,吕义雄,60,-14%,上美,上海,化妆品,45
1050,145,马成喜,60,-2%,现代,天津,房地产,66
1050,247,钱鹏鹤,60,9%,移远通信,上海,通信设备,50
1050,-284,施清岛家族,60,-37%,台华新材,浙江嘉兴,纺织材料,57
1050,-77,孙永根,60,-20%,天圣控股,浙江绍兴,化纤,51
1050,-351,汪群斌,60,-40%,复星,上海,投资,53
1050,-77,王俊,60,-20%,碳云、华大基因,广东深圳,医疗大数据、基因检测,46
1050,-351,王铭祥、周一峰夫妇,60,-40%,东华能源,江苏南京,石油化工,44
1050,205,杨龙忠,60,3%,比亚迪,广东深圳,汽车、充电电池,56
1050,-6,姚其湧,60,-14%,宏兆,广东深圳,投资,58
1050,-141,尤金焕,60,-25%,华峰,浙江温州,化工、铝业、投资,-
1050,-186,张镇潮,60,-29%,税友股份,浙江杭州,财税软件,55
1050,52,甄荣辉,60,-10%,51job,上海,互联网服务,60
1050,574,郑志国,60,40%,奥翔药业,浙江台州,医药,51
1050,147,钟英武,60,0%,趣加科技,湖南长沙,游戏,37
1050,-291,周富裕、唐建芳夫妇,60,-38%,周黑鸭,湖北武汉,食品,"47, -"
1050,136,庄辰超,60,-3%,斑马投资,北京,投资,46
1050,New,邹伟民、陈敏夫妇,60,New,传艺科技,江苏扬州,消费电子零部件,"53, -"
1099,-64,曹德风、孟海蒂夫妇,59,-18%,佳格,台湾台北,食品,"77, -"
1099,-297,车冯升,59,-34%,四环医药,北京,医药,60
1099,198,陈海斌,59,7%,迪安诊断,浙江杭州,医疗服务、医疗器械,53
1099,-55,彭翼捷,59,-16%,阿里系,浙江杭州,电子商务、金融科技,43
1099,16,涂建华,59,-11%,广联达,北京,软件与信息服务,53
1099,98,王坚,59,-2%,阿里系,浙江杭州,电子商务、金融科技,60
1099,182,徐子泉、康宁夫妇,59,5%,捷成,北京,软件与信息服务,"67, -"
1099,-333,叶标、胡金莲夫妇,59,-38%,浙富控股,浙江杭州,清洁能源装备,"52, 50"
1099,274,周明华,59,13%,华海药业,浙江台州,医药,58
1108,291,丹宏家族,58,16%,五得利,河北邯郸,面粉,-
1108,-306,李义升、杨延夫妇,58,-36%,金辰股份,辽宁营口,智能装备,"51, 47"
1108,New,罗宇浩,58,New,昱能科技,浙江嘉兴,光伏逆变器,49
1108,New,姚毅、杨艺夫妇,58,New,凌云光,北京,消费电子,"57, 52"
1112,-158,耿殿根,57,-28%,光环新网,北京,电信运营,66
1112,61,韩汇如,57,-11%,东方铁塔,山东青岛,钢结构产品,46
1112,New,吉英存,57,New,经纬恒润,北京,汽车电子产品,57
1112,-68,李琼,57,-19%,昆仑万维,北京,互联网游戏、投资,45
1112,-346,林志雄,57,-40%,大博医疗,福建厦门,医疗器械,49
1112,-203,孙俊良、孙恒父子,57,-29%,陕西恒源,陕西榆林,煤炭,"59, 34"
1112,-10,王坤晓,57,-15%,杰瑞石油,山东烟台,石油专用设备,53
1112,New,王跃旦家族,57,New,富佳实业,浙江宁波,家用电器,69
1112,-77,杨元庆,57,-21%,联想,北京,计算机服务、投资,58
1112,185,张果喜,57,4%,果喜,香港,玉矿、木雕、地产,70
1112,-80,周儒欣、周光宇父子,57,-22%,北斗星通,北京,卫星导航设备,"59, 30"
1123,403,郭春萱,56,22%,瑞丰新材,河南新乡,化工,76
1123,0,王帅,56,-14%,阿里系,浙江杭州,电子商务、金融科技,47
1123,158,张朝阳,56,0%,搜狐,北京,门户网站、娱乐,58
1123,New,郑勇军,56,New,广立微,浙江杭州,半导体,51
1127,70,陈礼明,55,-8%,昌明,广东东莞,酒店管理,-
1127,-4,陈润光、陈健民父子,55,-15%,光大地产,广东东莞,房地产,"69, -"
1127,170,董增平,55,0%,思源电气,上海,输配电设备,52
1127,-263,范敏华、朱小平夫妇,55,-35%,普利制药,海南海口,医药,"61, 68"
1127,699,顾轶,55,49%,奕瑞科技,上海,X线探测仪,54
1127,170,韩敬远、韩力父子,55,0%,津西,河北唐山,钢铁、房地产,"66, 35"
1127,46,何伯权,55,-14%,今日投资,广东深圳,投资,62
1127,-4,胡晓明,55,-15%,阿里系,浙江杭州,电子商务、金融科技,52
1127,272,胡新荣,55,10%,新益昌,广东深圳,电气设备,50
1127,-4,黄健,55,-15%,美的,广东佛山,家电制造,55
1127,417,黄伟常家族,55,22%,六福,香港,零售,71
1127,-325,黄旭,55,-39%,瑞芯微,福建福州,集成电路,55
1127,-25,黄正聪,55,-18%,视源,香港,消费电子,55
1127,New,金亮,55,New,天顺风能,江苏苏州,风电设备,45
1127,-85,李朝旺,55,-23%,维达国际,香港,卫生用品,64
1127,-615,李红京,55,-61%,道通科技,广东深圳,汽车智能诊断设备,54
1127,384,李建国、蒋鹂北夫妇,55,17%,润建股份,广西南宁,通信技术服务商,"58, 49"
1127,-428,李胥兵,55,-45%,吉利,浙江杭州,汽车制造,-
1127,-154,林启彬家族,55,-27%,英利汽车,吉林长春,汽车零配件,69
1127,-83,刘国本,55,-21%,骆驼股份,湖北襄阳,蓄电池,78
1127,230,刘海燕,55,4%,大陆希望,四川成都,机械电气、能源化工、房地产,-
1127,-218,刘冀鲁、刘凌云父女,55,-31%,顺丰,香港,快递,"75, 46"
1127,-154,刘江,55,-27%,贵州燃气,北京,城市燃气,54
1127,70,刘迎新,55,-8%,汇川技术,广东深圳,工业自动化产品,52
1127,70,刘远炳,55,-8%,美林基业,广东广州,房地产,56
1127,170,吕中楼,55,0%,沁和能源,山西晋城,煤炭,57
1127,-154,马斌、陈小琴夫妇,55,-27%,神马,江苏南通,电气机械和器材,"51, 54"
1127,128,孟庆南家族,55,-5%,武汉凡谷,湖北武汉,通信设备元件,64
1127,70,莫浩棠家族,55,-8%,三正,广东东莞,房地产、投资,55
1127,46,乔鲁予,55,-14%,劲嘉,广东深圳,包装及印刷,66
1127,170,邱文生,55,0%,华勤技术,上海,手机设计,-
1127,New,饶军,55,New,Confluent,美国,软件服务,-
1127,-4,饶微家族,55,-15%,新产业,广东深圳,医疗器械,58
1127,356,佘英杰,55,15%,新豪国际,香港,电子设备制造,65
1127,560,石平湘、石思慧父女,55,34%,华特气体,广东佛山,工业气体,"74, 44"
1127,-218,束小龙、董雪夫妇,55,-31%,老乡鸡,安徽合肥,餐饮,"34, -"
1127,-12,孙永辉,55,-17%,视源,广东广州,消费电子,51
1127,-480,屠永军家族,55,-50%,天宇药业,浙江台州,医药,59
1127,575,万柏方家族,55,38%,图南股份,江苏镇江,合金材料,54
1127,-172,王强翔,55,-29%,共创草坪,江苏淮安,人造草坪,51
1127,-12,王毅然,55,-17%,视源,广东广州,消费电子,42
1127,-4,吴礼淦家族,55,-15%,沪电股份,上海,印制电路板,81
1127,59,伍超群家族,55,-11%,千禾味业,四川眉山,食品,53
1127,417,肖铿家族,55,22%,可立克,广东深圳,变压器电子元件,50
1127,-92,谢秉政、冯玲玲夫妇,55,-24%,比音勒芬,广东广州,服装,"53, 49"
1127,246,谢剑辉,55,6%,富兴,湖南长沙,房地产、汽车销售、投资,-
1127,-328,谢可滔,55,-40%,中教,香港,教育,58
1127,-12,徐小平,55,-17%,真格,北京,投资,66
1127,-328,于果,55,-40%,中教,香港,教育,60
1127,995,余惠勇、徐艳林夫妇,55,83%,百果园,广东深圳,水果零售,"54, 53"
1127,New,袁帅,55,New,莉莉丝,上海,游戏,35
1127,70,张佛恩,55,-8%,龙泉,广东东莞,房地产,70
1127,New,张国良,55,New,中复神鹰,江苏连云港,碳纤维,66
1127,New,张昊,55,New,莉莉丝,上海,游戏,35
1127,872,张积敏,55,67%,青山控股,浙江温州,不锈钢,59
1127,774,张学武,55,57%,盐津铺子,湖南长沙,食品制造,48
1127,-480,赵林、彭心夫妇,55,-50%,奈雪的茶,广东深圳,食品饮料,"42, 34"
1127,170,赵满堂家族,55,0%,盛达,甘肃天水,矿业、酒店,62
1127,70,邹锡昌,55,-8%,昌盛,广东广州,房地产,58
1127,575,左晶,55,38%,绿的谐波,江苏苏州,机器人零部件,57
1127,575,左昱昱,55,38%,绿的谐波,江苏苏州,机器人零部件,52
1188,278,陈茂春,54,10%,兴华财富,河北邯郸,钢铁,70
1188,-386,林志军,54,-40%,大博医疗,福建厦门,医疗器械,47
1188,-489,秦庆平家族,54,-46%,金能科技,山东德州,煤化工,59
1188,-144,任元林、任乐天父子,54,-23%,扬子江船业,江苏无锡,造船,"69, -"
1192,-69,方隽云、方骥柠父女,53,-18%,洁美科技,浙江湖州,电子元器件,"58, 32"
1192,5,傅梅城,53,-12%,华策影视,浙江杭州,影视传媒,65
1192,291,葛尧伦家族,53,10%,海利尔,山东青岛,农药,61
1192,154,胡季强,53,-2%,康恩贝,浙江杭州,医药,61
1192,New,李仙华,53,New,晶科能源,江西上饶,太阳能,48
1192,432,肖争强,53,23%,新强联,河南洛阳,电子设备制造,51
1192,-219,张勤,53,-29%,圣邦,北京,模拟芯片,52
1192,-6,周逵,53,-15%,红杉,北京,投资,54
1192,165,周文起,53,0%,华北,天津,铜业、房地产,-
1192,-19,周云杰,53,-17%,奥瑞金,北京,包装,61
1202,47,侯永旺,52,-12%,鄂尔多斯,内蒙古鄂尔多斯,羊绒、煤电、冶金、房地产,58
1202,144,金建杭,52,-4%,阿里系,浙江杭州,电子商务、金融科技,53
1202,-158,楼国强、陆小咪夫妇,52,-26%,金田投资,浙江宁波,铜加工、贸易,"65, -"
1202,-5,牟金香,52,-13%,联化科技,浙江台州,化工,68
1202,-229,倪信才,52,-31%,荣盛控股,浙江杭州,化纤,-
1202,-436,吴俊保,52,-45%,中国东方教育,安徽合肥,教育,56
1202,-29,熊晓鸽,52,-19%,IDG资本,北京,投资,67
1202,-87,周亚辉,52,-21%,昆仑万维,北京,互联网游戏、投资,45
1202,-158,左宗申家族,52,-26%,宗申,重庆,摩托车、房地产,69
1211,86,曹积生,51,-7%,益生股份,山东烟台,养殖、饲料,"62, -"
1211,70,樊路远,51,-9%,阿里系,浙江杭州,电子商务、金融科技,49
1211,-246,李军,51,-34%,利亚德,北京,LED,58
1211,162,武卫,51,-2%,阿里系,浙江杭州,电子商务、金融科技,55
1211,476,肖高强,51,24%,新强联,河南洛阳,电子设备制造,49
1211,-14,阎焱,51,-15%,赛富,北京,投资,65
1211,New,尹洪涛、尹士宇父子,51,New,信德新材,辽宁辽阳,新材料,"58, 29"
1211,135,俞思瑛,51,-6%,阿里系,浙江杭州,电子商务、金融科技,47
1211,-25,赵磊家族,51,-18%,五洲特纸,浙江衢州,特种纸,40
1211,-512,郑树生,51,-49%,迪普科技,浙江杭州,软件开发,56
1221,-900,Chen Jingye,50,-76%,冬海集团,新加坡,网络游戏、电商,42
1221,34,毕心德家族,50,-14%,山东赫达,山东淄博,新材料,68
1221,305,曹世如、曹曾俊母子,50,9%,红旗连锁,四川成都,零售连锁,"70, 43"
1221,178,曹曙,50,0%,三六零安全科技,北京,网络信息服务,-
1221,178,曾伟雄、靖慧娟夫妇,50,0%,兰卫医学,上海,医疗诊断,"54, 51"
1221,245,陈成辉,50,2%,科华伟业,福建厦门,电力电子技术,62
1221,178,陈伟林,50,0%,特变电工,新疆昌吉,电气机械和器材制造,-
1221,76,陈小英,50,-9%,申通快递,上海,物流,46
1221,76,陈晓红,50,-9%,广联达,北京,软件与信息服务,54
1221,28,陈义红家族,50,-15%,中国动向,北京,服装,64
1221,-24,陈卓南、陈小娜夫妇,50,-17%,雅居乐,广东广州,房地产,59
1221,-24,陈卓喜、陆燕平夫妇,50,-17%,雅居乐,广东广州,房地产,64
1221,28,陈卓雄、陆丽卿夫妇,50,-15%,雅居乐,广东广州,房地产,65
1221,-639,程维,50,-60%,滴滴出行,北京,生活服务平台,39
1221,-312,代田田,50,-38%,柏楚电子,上海,激光切割控制系统,39
1221,New,戴震,50,New,能链,山东青岛,充电服务,44
1221,New,单一刚,50,New,贝壳,北京,房地产服务,49
1221,New,丁会,50,New,嘉立创,广东深圳,半导体,-
1221,New,丁会响,50,New,嘉立创,广东深圳,半导体,-
1221,245,冬瑞芹、付嵩洋母子,50,2%,瑞丰钢铁,河北唐山,钢铁,"60, -"
1221,290,何金碧、张春玲夫妇,50,6%,迈科,陕西西安,有色金属贸易、投资,-
1221,-312,何思模,50,-38%,易事特,广东东莞,电源装备,57
1221,-248,何新明、何颖父女,50,-33%,东鹏,广东佛山,建筑陶瓷,"67, 36"
1221,34,胡鹍辉,50,-14%,亚辉龙,广东深圳,生物科技,31
1221,-24,胡一平,50,-17%,德信地产,浙江杭州,房地产,56
1221,-177,黄崇胜、林胜枝夫妇,50,-29%,怡球资源,江苏苏州,铝合金锭,"65, 59"
1221,262,黄向墨家族,50,4%,玉湖,香港,房地产、投资,53
1221,New,黄振达,50,New,联泰,广东汕头,基础建设、房地产,75
1221,178,柯炳华,50,0%,科博达,上海,汽车电子产品,53
1221,262,柯磊,50,4%,科博达,上海,汽车电子产品,37
1221,819,李东飞,50,56%,纳思达,广东珠海,打印设备,61
1221,-455,李文斌、何芷韵夫妇,50,-47%,理文造纸,香港,浆纸,"41, -"
1221,-455,李文俊,50,-47%,理文造纸,香港,浆纸,51
1221,-248,李学凌,50,-33%,欢聚时代,广东深圳,游戏、语音软件,49
1221,76,李云春,50,-9%,沃森,云南昆明,生物制药,60
1221,-24,李振江家族,50,-17%,神威,河北石家庄,医药,65
1221,New,廖忻愉,50,New,海天味业,广东佛山,调味品,-
1221,New,凌世生、姜学英夫妇,50,New,安旭生物,浙江杭州,生物医药,"50, 49"
1221,-98,刘保起、刘振腾父子,50,-23%,罗欣药业,山东临沂,医药制造业,"61, 36"
1221,-177,刘若鹏,50,-29%,光启,广东深圳,超材料,39
1221,60,刘贞峰,50,-11%,杰瑞石油,山东烟台,石油专用设备,61
1221,-127,罗肇华,50,-26%,郑和资本,香港,投资,56
1221,-312,马瑞敏、马艺芯母女,50,-38%,地素时尚,上海,服装,"57, 31"
1221,76,潘斐莲,50,-9%,中国中免,北京,旅游服务,-
1221,-98,彭浩,50,-23%,信维通信,广东深圳,通信部件,55
1221,-312,彭建华家族,50,-38%,加煌国际,北京,教育,71
1221,New,浦益龙家族,50,New,隆达,江苏无锡,高温合金,61
1221,178,邱达昌、邱吴慧平夫妇,50,0%,远东发展,香港,房地产,"68, -"
1221,34,阮鸿献,50,-14%,一心堂药业,云南昆明,医药,56
1221,-24,邵恒,50,-17%,世纪华通,浙江绍兴,游戏,37
1221,152,施崇棠,50,-4%,华硕,台湾台北,电脑产品,70
1221,290,孙荫环家族,50,6%,亿达,辽宁大连,房地产、软件园,72
1221,-463,覃九三、邓永红夫妇,50,-49%,新宙邦,广东深圳,电子化学品,"55, 53"
1221,34,唐柱学,50,-14%,汇川技术,广东深圳,工业自动化产品,47
1221,245,汪力成,50,2%,华立,浙江杭州,医药、投资,62
1221,178,王春生、吕莉夫妇,50,0%,安洁科技,江苏苏州,绝缘材料,"47, 46"
1221,-312,王佶,50,-38%,世纪华通,浙江绍兴,游戏,51
1221,1177,王军,50,100%,英杰电气,四川德阳,电源设备,59
1221,178,王念强,50,0%,比亚迪,广东深圳,汽车、充电电池,58
1221,New,王硕,50,New,Deel,美国西雅图,企业服务,32
1221,76,王云富、王扬超父子,50,-9%,东港工贸,浙江台州,医药、化工,"60, -"
1221,178,王张兴,50,0%,城市地产,上海,房地产、投资,55
1221,-639,王振东,50,-60%,中公教育,北京,教育,46
1221,-312,吴亦圭家族,50,-38%,台聚,台湾台北,化工,70
1221,-98,吴振兴,50,-23%,海天味业,广东佛山,调味品,53
1221,152,项兴富家族,50,-4%,兴惠化纤,浙江杭州,化纤,59
1221,-419,徐明星,50,-44%,欧科云链,北京,区块链,37
1221,-266,杨才学,50,-36%,新洋丰,湖北荆门,肥料、化学产品,58
1221,New,杨明超,50,New,锅圈食汇,上海,食材超市,50
1221,76,叶华能,50,-9%,宝丽华,广东广州,新能源,69
1221,-98,银鑫,50,-23%,快手科技,北京,传媒娱乐,37
1221,-455,尤小华,50,-47%,华峰,浙江温州,化工、铝业、投资,-
1221,76,袁金钰、袁聪父子,50,-9%,顺络电子,广东深圳,新型电子元件,"66, 38"
1221,-48,张红、张大伟父子,50,-22%,怡合达,广东东莞,自动化设备,"56, -"
1221,1337,张顼,50,117%,高测股份,山东青岛,机械设备,51
1221,-248,张耀垣,50,-33%,碧桂园,广东佛山,房地产,77
1221,178,郑伟鹤、黄荔夫妇,50,0%,同创伟业,广东深圳,投资,"56, 53"
1221,-616,钟志平,50,-58%,创科实业,香港,消费品,69
1221,403,周福贵,50,16%,三一,湖南长沙,重型机械,60
1221,-35,周华松、吴文利夫妇,50,-19%,松霖科技,福建厦门,淋浴设备,"56, 54"
1221,34,周继伟,50,-14%,亿联网络,福建厦门,通信,60
1221,-24,周俊杰,50,-17%,利元亨,广东惠州,精密自动化设备,44
1221,1177,周英怀,50,100%,英杰电气,四川德阳,电源设备,58
1221,-266,朱海、王金玉夫妇,50,-36%,易瑞生物,广东深圳,生物检测试剂,"49, 48"
1221,New,宗坚、赵静艳夫妇,50,New,菲沃泰,江苏无锡,纳米材料,"51, 47"
